ctry,year,nace2,nace4,share4,rev4
CZ,2018,16,1623,0.007453099193485893,1.4138e9
CZ,2018,16,1624,0.0024228634809210043,4.596e8
CZ,2018,16,1629,0.0016363290349823323,3.1040000000000006e8
CZ,2018,17,1711,0.0012061437605694473,2.287969077593241e8
CZ,2018,17,1712,0.004782833020053977,9.072694657897971e8
CZ,2018,17,1721,0.006094587620306295,1.1561e9
CZ,2018,17,1722,0.003548894028189774,6.731999999999999e8
CZ,2018,17,1723,0.0006636006624641975,1.2588033410475478e8
CZ,2018,17,1724,1.3352758386002973e-6,253292.34612402233
CZ,2018,17,1729,0.0017907892177303419,3.3969999999999994e8
CZ,2018,18,1811,2.681610600265619e-5,5.08682491435126e6
CZ,2018,18,1812,0.006277082478098225,1.1907179788096387e9
CZ,2018,18,1813,0.000425216595331863,8.066056909662755e7
CZ,2018,18,1814,0.00024364178859657423,4.62171174400711e7
CZ,2018,18,1820,0.0015420582939019412,2.925175097393115e8
CZ,2018,19,1910,0.0026819023580776226,5.087378358205826e8
CZ,2018,19,1920,0.002037186065331447,3.8643973257231164e8
CZ,2018,20,2011,0.002025719456503919,3.842645982906522e8
CZ,2018,20,2012,0.001862892403658434,3.53377462437939e8
CZ,2018,20,2013,0.0030397444502841126,5.766179400332991e8
CZ,2018,20,2014,0.005167508465944786,9.802396666796176e8
CZ,2018,20,2015,0.0017194047078794201,3.2615886531130004e8
CZ,2018,20,2016,0.03692947411349346,7.005259040063504e9
CZ,2018,20,2017,0.0008187617517079282,1.5531329109055686e8
CZ,2018,20,2020,0.00035109379423267813,6.6599999999999985e7
CZ,2018,20,2030,0.0019246898539692313,3.651e8
CZ,2018,20,2041,0.0012008883832763377,2.278e8
CZ,2018,20,2042,0.0013173924801613555,2.499e8
CZ,2018,20,2051,0.0011306245379323126,2.144714474115404e8
CZ,2018,20,2052,4.4122598551716934e-5,8.369743674810985e6
CZ,2018,20,2053,1.8459258135750592e-5,3.5015902076191236e6
CZ,2018,20,2059,0.002114609217314722,4.011263547991599e8
CZ,2018,20,2060,0.0005703956236633,1.0819999999999999e8
CZ,2018,21,2110,0.0007190991012575614,1.364079939049405e8
CZ,2018,21,2120,0.008276493248271597,1.5699920060950592e9
CZ,2018,22,2211,0.018578449694216282,3.5242e9
CZ,2018,22,2219,0.007915952573870714,1.5015999999999998e9
CZ,2018,22,2221,0.010486423055370023,1.9892000000000002e9
CZ,2018,22,2222,0.005037088894734595,9.555e8
CZ,2018,22,2223,0.005325976881580702,1.0103e9
CZ,2018,22,2229,0.01931859336854463,3.6646e9
CZ,2018,23,2311,0.0014345685944383093,2.721274769279268e8
CZ,2018,23,2312,0.0029110209185478214,5.522e8
CZ,2018,23,2313,0.002978498404526474,5.65e8
CZ,2018,23,2314,0.0017748061081201074,3.366681175870167e8
CZ,2018,23,2319,0.0011824375082040497,2.243e8
CZ,2018,23,2320,0.0015878295919351754,3.012e8
CZ,2018,23,2331,0.0009181904564260525,1.7417421043178153e8
CZ,2018,23,2332,0.0010671894571265873,2.0243826297176802e8
CZ,2018,23,2341,0.0003959030622653774,7.51e7
CZ,2018,23,2342,0.0008301243972390784,1.5746870427303278e8
CZ,2018,23,2343,0.0001112370656819649,2.11008815767024e7
CZ,2018,23,2344,9.699888609431349e-5,1.84e7
CZ,2018,23,2349,1.845087507228789e-5,3.4999999999999995e6
CZ,2018,23,2351,0.001484182092575249,2.8153880526866746e8
CZ,2018,23,2352,0.0006804869394853722,1.2908354096310475e8
CZ,2018,23,2361,0.004573181178631356,8.675e8
CZ,2018,23,2362,2.003237864991257e-5,3.8e6
CZ,2018,23,2363,0.0029162925971399035,5.532e8
CZ,2018,23,2364,0.0022726206410466606,4.3110000000000006e8
CZ,2018,23,2365,0.00043491348384678603,8.25e7
CZ,2018,23,2369,0.0007401436743283487,1.404e8
CZ,2018,23,2370,0.0005482545735765545,1.04e8
CZ,2018,23,2391,0.00034424061206297127,6.53e7
CZ,2018,23,2399,0.00312821407654161,5.934e8
CZ,2018,24,2410,0.02352855589218152,4.4632e9
CZ,2018,24,2420,0.004485671314002791,8.509e8
CZ,2018,24,2431,0.00018699682847606595,3.547197068442753e7
CZ,2018,24,2432,0.0008244147239179524,1.5638561978269574e8
CZ,2018,24,2433,0.001103362329322816,2.0930000000000003e8
CZ,2018,24,2434,0.0027971526609588447,5.3060000000000006e8
CZ,2018,24,2441,6.417415376384451e-5,1.2173381332509581e7
CZ,2018,24,2442,0.004864705004773505,9.228e8
CZ,2018,24,2443,0.000852395399458155,1.6169335526987585e8
CZ,2018,24,2444,0.0004226603785934593,8.017567293049122e7
CZ,2018,24,2445,3.8483253722200467e-5,7.300000000000001e6
CZ,2018,24,2446,0.0,0.0
CZ,2018,24,2451,0.0023016148733031126,4.366e8
CZ,2018,24,2452,0.0007944419638267958,1.507e8
CZ,2018,24,2453,0.0026985722712869063,5.119e8
CZ,2018,24,2454,0.0001233572790547248,2.3400000000000004e7
CZ,2018,25,2511,0.01408170785517012,2.6712e9
CZ,2018,25,2512,0.001877244746640491,3.561e8
CZ,2018,25,2521,0.001949993911211226,3.6989999999999994e8
CZ,2018,25,2529,0.0025451664242573126,4.828e8
CZ,2018,25,2530,0.0011075796721964817,2.1009999999999997e8
CZ,2018,25,2540,0.0023970322558198014,4.547e8
CZ,2018,25,2550,0.0039389982440038605,7.471999999999999e8
CZ,2018,25,2561,0.005464094860693257,1.0365e9
CZ,2018,25,2562,0.014051132119336042,2.6654e9
CZ,2018,25,2571,0.0013593091079394386,2.5785128668144512e8
CZ,2018,25,2572,0.00899939548810205,1.7071214283849936e9
CZ,2018,25,2573,0.006666181417088154,1.2645272849335616e9
CZ,2018,25,2591,0.0005255863556306008,9.97e7
CZ,2018,25,2592,0.0024513305453182487,4.65e8
CZ,2018,25,2593,0.0038804826116317476,7.360999999999999e8
CZ,2018,25,2594,0.0021756217549523467,4.127e8
CZ,2018,25,2599,0.010114242546769014,1.9186e9
CZ,2018,26,2611,0.002703843949878989,5.1290000000000006e8
CZ,2018,26,2612,0.0005851563237211304,1.1100000000000001e8
CZ,2018,26,2620,0.03961244727662448,7.5142e9
CZ,2018,26,2630,0.0035799969318830597,6.791e8
CZ,2018,26,2640,0.007186352256726531,1.3632e9
CZ,2018,26,2651,0.02211152868662981,4.1944e9
CZ,2018,26,2652,3.5847414426159335e-5,6.8e6
CZ,2018,26,2660,0.00019083476503337768,3.620000000000001e7
CZ,2018,26,2670,0.0007185297921008115,1.3630000000000003e8
CZ,2018,26,2680,5.482545735765546e-5,1.0400000000000002e7
CZ,2018,27,2711,0.016356308416347578,3.1026755767913795e9
CZ,2018,27,2712,0.012968754418750337,2.460080635080566e9
CZ,2018,27,2720,0.0031508574920072674,5.976952951455854e8
CZ,2018,27,2731,3.0575495154161194e-5,5.799954344728784e6
CZ,2018,27,2732,0.005232099817328447,9.924921874385033e8
CZ,2018,27,2733,0.002346405671227095,4.450964963515142e8
CZ,2018,27,2740,0.013136919642098226,2.4919803839765744e9
CZ,2018,27,2751,0.0031071029041142436,5.893953604798528e8
CZ,2018,27,2752,0.0006863671498399634,1.3019897511787719e8
CZ,2018,27,2790,0.009954959491227242,1.88838513527342e9
CZ,2018,28,2811,0.002142396180709716,4.063973444677501e8
CZ,2018,28,2812,0.0026779952258871443,5.079966805846875e8
CZ,2018,28,2813,0.0061904917199985705,1.174292326792517e9
CZ,2018,28,2814,0.004501456935797309,8.538944203765053e8
CZ,2018,28,2815,0.0031234491561774277,5.924961284378492e8
CZ,2018,28,2821,0.0008592779957078831,1.629989349120159e8
CZ,2018,28,2822,0.00663120117055795,1.2578917805265322e9
CZ,2018,28,2823,0.00016500246175249532,3.129979547696992e7
CZ,2018,28,2824,0.0010833228718893863,2.0549865720502615e8
CZ,2018,28,2825,0.013967748327776726,2.6495826867661176e9
CZ,2018,28,2829,0.007079818087335503,1.3429912244591248e9
CZ,2018,28,2830,0.0053285779022179645,1.0107933951476421e9
CZ,2018,28,2841,0.00504180046070564,9.563937506125889e8
CZ,2018,28,2849,0.0011892829192128738,2.2559852586595577e8
CZ,2018,28,2891,0.0007132534528789975,1.352991159116304e8
CZ,2018,28,2892,0.007234804425211648,1.3723910323512306e9
CZ,2018,28,2893,0.001206679344892849,2.2889850430282474e8
CZ,2018,28,2894,0.0034239328724679145,6.494957559837688e8
CZ,2018,28,2895,0.0008086702119115905,1.5339899764112416e8
CZ,2018,28,2896,0.0013200196940199626,2.5039836381575936e8
CZ,2018,28,2899,0.005987533420398855,1.1357925783623781e9
CZ,2018,29,2910,0.12655191628152662,2.4006e10
